Building,Hood,Lab,Floor,Server,Flow Sensor,Sash,Hood Occupancy,Occupancy,Internal Temp
olin,4,276,2,biotech,#olinhhall_lab_276/fh-4_flow_fbk,#olinhhall_lab_276/fh-4_sash_pos,,#olinhhall_lab_276/occ_sensor,#olinhhall_lab_276/zone_temp
olin,5,276,2,biotech,#olinhhall_lab_276/fh-5_flow_fbk,#olinhhall_lab_276/fh-5_sash_pos,,#olinhhall_lab_276/occ_sensor,#olinhhall_lab_276/zone_temp
olin,6,276,2,biotech,#olinhhall_lab_276/fh-6_flow_fbk,#olinhhall_lab_276/fh-6_sash_pos,,#olinhhall_lab_276/occ_sensor,#olinhhall_lab_276/zone_temp
olin,1,276D,2,biotech,#olinhhall_lab_276d/fh-1_flow_fbk,#olinhhall_lab_276d/fh-1_sash_pos,,#olinhhall_lab_276d/occ_sensor,#olinhhall_lab_276d/zone_temp
olin,2,276D,2,biotech,#olinhhall_lab_276d/fh-2_flow_fbk,#olinhhall_lab_276d/fh-2_sash_pos,,#olinhhall_lab_276d/occ_sensor,#olinhhall_lab_276d/zone_temp
olin,1,301,3,biotech,,,,#olin_third_floor/lab_spaces/lab_301_control/occ_sensor,#olin_third_floor/lab_spaces/lab_301_control/zone/zone_temp
olin,1,303,3,biotech,#olin_third_floor/lab_spaces/lab_303_control/hoodvalve_flow,,,#olin_third_floor/lab_spaces/lab_303_control/occ_sensor,#olin_third_floor/lab_spaces/lab_303_control/zone/zone_temp
olin,1,304-1,3,biotech,,,,#olin_third_floor/lab_spaces/lab_304-1_control/occ_sensor,#olin_third_floor/lab_spaces/lab_304-1_control/zone/zone_temp
olin,1,304-2,3,biotech,#olin_third_floor/lab_spaces/lab_304-2_control/hood_flow,,,olin_third_floor/lab_spaces/lab_304-2_control/occ,#olin_third_floor/lab_spaces/lab_304-2_control/zone/zone_temp
olin,1,305,3,biotech,#olin_third_floor/lab_spaces/lab_305_control/hoodvalve_flow,,,#olin_third_floor/lab_spaces/lab_305_control/occ_sensor,#olin_third_floor/lab_spaces/lab_305_control/zone/zone_temp
olin,1,306,3,biotech,#olin_third_floor/lab_spaces/lab_306_control/hoodvalve_flow,,,#olin_third_floor/lab_spaces/lab_306_control/occ_sensor,#olin_third_floor/lab_spaces/lab_306_control/zone/zone_temp
olin,1,307,3,biotech,#olin_third_floor/lab_spaces/lab_307_control/hoodvalve_flow,,,#olin_third_floor/lab_spaces/lab_307_control/occ_sensor,#olin_third_floor/lab_spaces/lab_307_control/zone/zone_temp
olin,1,308,3,biotech,#olin_third_floor/lab_spaces/lab_308_control/hood_flow,,,#olin_third_floor/lab_spaces/lab_308_control/occ_sensor,#olin_third_floor/lab_spaces/lab_308_control/zone/zone_temp
olin,1,309,3,biotech,#olin_third_floor/lab_spaces/lab_309_control/hoodvalve_flow,,,#olin_third_floor/lab_spaces/lab_309_control/occ_sensor,#olin_third_floor/lab_spaces/lab_309_control/zone/zone_temp
olin,1,310,3,biotech,#olin_third_floor/lab_spaces/lab_310_control/hoodvalve_flow,,,#olin_third_floor/lab_spaces/lab_310_control/occ_sensor,#olin_third_floor/lab_spaces/lab_310_control/zone/zone_temp
olin,1,311,3,biotech,#olin_third_floor/lab_spaces/lab_311_control/hoodvalve_flow,,,#olin_third_floor/lab_spaces/lab_311_control/occ_sensor,#olin_third_floor/lab_spaces/lab_311_control/zone/zone_temp
olin,1,367,3,biotech,#olinhhall_lab_367/fh-1_flow_fbk,#olinhhall_lab_367/fh-1_sash_pos,,#olinhhall_lab_367/occ_sensor,#olinhhall_lab_367/zone_temp
olin,2,367,3,biotech,#olinhhall_lab_367/fh-2_flow_fbk,#olinhhall_lab_367/fh-2_sash_pos,,#olinhhall_lab_367/occ_sensor,#olinhhall_lab_367/zone_temp
olin,3,367,3,biotech,#olinhhall_lab_367/fh-3_flow_fbk,#olinhhall_lab_367/fh-3_sash_pos,,#olinhhall_lab_367/occ_sensor,#olinhhall_lab_367/zone_temp
olin,4,367,3,biotech,#olinhhall_lab_367/fh-4_flow_fbk,#olinhhall_lab_367/fh-4_sash_pos,,#olinhhall_lab_367/occ_sensor,#olinhhall_lab_367/zone_temp
olin,1,367D,3,biotech,#olinhhall_lab_367d/fh-1_flow_fbk,#olinhhall_lab_367d/fh-1_sash_pos,#olinhhall_lab_367d/fh_occ,#olinhhall_lab_367d/occ_sensor,#olinhhall_lab_367d/zone_temp
olin,1,367F,3,biotech,#olinhhall_lab_367f/fh-1_flow_fbk,#olinhhall_lab_367f/fh-1_sash_pos,#olinhhall_lab_367f/fh_occ,#olinhhall_lab_367f/occ_sensor,#olinhhall_lab_367f/zone_temp
