2019-091-6058,6058,52977,"Hood,Fume, 2019-301E-1", 301E,Hood Room 301E,OPERATING
2019-091-6059,6059,52978,"Hood,Fume, 2019-301E-2", 301E,Hood Room 301E,OPERATING
2019-091-6060,6060,52979,"Hood,Fume, 2019-301E-3", 301E,Hood Room 301E,OPERATING
2019-091-6061,6061,52980,"Hood,Fume, 2019-301H", 301H,Hood Room 301H,OPERATING
2019-091-6062,6062,52981,"Hood Fume, 2019-305", 305,Hood Room 305,OPERATING
2019-091-6064,6064,52983,"Hood,Fume, 2019-312", 312,Hood Room 312,OPERATING
2019-091-6065,6065,52984,"Hood,Fume, 2019-316", 316,Hood Room 316,OPERATING
2019-091-6071,6071,52990,"Hood,Fume, 2019-110-5", 110,Hood Room 110-E,OPERATING
2019-091-6072,6072,52991,"Hood,Fume, 2019-B19-2", B19,Hood Room B19-2,OPERATING
2019-091-6073,6073,52992,"Hood,Fume, 2019-B19-3", B19,Hood Room B19-3,OPERATING
2019-091-6105,6015,53099,"Hood,Fume, 2019-B01C-1", B01C,Hood Room B01C,OPERATING
2019-091-6106,6106,53100,"Hood,Fume, 2019-B01C-2", B01C,Hood Room B01C,OPERATING
2019-091-6107,6107,53101,"Hood,Fume, 2019-B01C-3", B01C,Hood Room B01C,OPERATING
2019-091-6108,6108,53102,"Hood,Fume, 2019-B01C-4", B01C,Hood Room B01C,OPERATING
2019-091-6109,6109,53103,"Hood,Fume, 2019-B01E-1", B01E,Hood Room B01E,OPERATING
2019-091-6110,6110,53104,"Hood,Fume, 2019-B01E-2", B01E,Hood Room B01E,OPERATING
2019-091-6111,6111,53105,"Hood,Fume, 2019-B02", B02,Hood Room B02,OPERATING
2019-091-6112,6112,53106,"Hood,Fume, 2019-B19-1", B19-1,Hood Room B19-1,OPERATING
2019-091-6113,6113,53107,"Hood,Fume, 2019-B22A", B22A,Hood Room B22A,HIBERNATION
2019-091-6114,6114,53108,"Hood,Fume, 2019-B24-1", B24,Hood Room B24,OPERATING
2019-091-6115,6115,53109,"Hood,Fume, 2019-B24-2", B24,Hood Room B24,OPERATING
2019-091-6116,6116,53110,"Hood,Fume, 2019-B27", B27,Hood Room B27,OPERATING
2019-091-6119,6119,53113,"Hood Fume, 2019-B32", B32,Hood Room B32,OPERATING
2019-091-6120,6120,53114,"Hood,Fume, 2019-B35-1", B35,Hood Room B35,OPERATING
2019-091-6121,6121,53115,"Hood,Fume, 2019-B35-2", B35,Hood Room B35,OPERATING
2019-091-6123,6123,53117,"Hood,Fume, 2019-G01A-1", G01A,Hood Room G01A,OPERATING
2019-091-6124,6124,53118,"Hood,Fume, 2019-G01A-2", G01A,Hood Room G01A,OPERATING
2019-091-6125,6125,53119,"Hood,Fume, 2019-G01A-3", G01A,Hood Room G01A,OPERATING
2019-091-6126,6126,53120,"Hood,Fume, 2019-G01B-1", G01B,Hood Room G01B,OPERATING
2019-091-6127,6127,53121,"Hood,Fume, 2019-G01B-2", G01B,Hood Room G01B,OPERATING
2019-091-6128,6128,53122,"Hood,Fume, 2019-G01B-3", G01B,Hood Room G01B,OPERATING
