oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
,,1018-091-6062,6062.0,52380.0,"Hood,Fume, 1018-409",409,409,OPERATING,,,,,,,,
,,1018-091-6063,6063.0,52381.0,"Hood Fume, 1018-409B",409,409,OPERATING,,,,,,,,
,,1018-091-6064,6064.0,52382.0,"Hood,Fume, 1018-417",417,417,OPERATING,,,,,,,,
,,1018-091-6065,6065.0,52383.0,"Hood Fume, 1018-417B",417,417,OPERATING,,,,,,,,
,,1018-091-6066,6066.0,52384.0,"Hood Fume, 1018-418",418,418,OPERATING,,,,,,,,
,,1018-091-6067,6067.0,52385.0,"Hood,Fume, 1018-421",421,421,OPERATING,,,,,,,,
,,1018-091-6068,6068.0,52386.0,"Hood Fume, 1018-421B",421,421,OPERATING,,,,,,,,
,,1018-091-6069,6069.0,52387.0,"Hood,Fume, 1018-427",427,427,OPERATING,,,,,,,,
,,1018-091-6070,6070.0,52388.0,"Hood Fume, 1018-427B",427,427,OPERATING,,,,,,,,
,,1018-091-6071,6071.0,52389.0,"Hood,Fume, 1018-433",433,433,OPERATING,,,,,,,,
,,1018-091-6073,6073.0,52391.0,"Hood Fume, 1018-436",436,436,OPERATING,,,,,,,,
,,1018-091-6074,6074.0,52392.0,"Hood,Fume, 1018-441",441,441,OPERATING,,,,,,,,
,,1018-091-6075,6075.0,52393.0,"Hood Fume, 1018-441B",441,441,OPERATING,,,,,,,,
,,1018-091-6076,6076.0,52394.0,"Hood,Fume, 1018-445",445,445,OPERATING,,,,,,,,
,,1018-091-6077,6077.0,52395.0,"Hood Fume, 1018-445B",445,445,OPERATING,,,,,,,,
,,1018-091-6078,6078.0,52396.0,"Hood,Fume, 1018-453",453,453,OPERATING,,,,,,,,
,,1018-091-6079,6079.0,52397.0,"Hood Fume, 1018-453B",453,453,OPERATING,,,,,,,,
,,1018-091-6080,6080.0,52399.0,"Hood,Fume, 1018-457",457,457,OPERATING,,,,,,,,
,,1018-091-6081,6081.0,52400.0,"Hood Fume, 1018-457B",457,457,OPERATING,,,,,,,,
,,1018-091-6084,6084.0,52403.0,"Hood,Fume, 1018-467",467,467,OPERATING,,,,,,,,
,,1018-091-6085,6085.0,52404.0,"Hood Fume, 1018-467B",467,467,OPERATING,,,,,,,,
,,1018-091-6086,6086.0,52406.0,"Hood Fume, 1018-G59",G59,G59,OPERATING,,,,,,,"No G59 in WebCTRL, but there's a G49 in WebCTRL",
,,1018-091-6087,6087.0,52405.0,"Hood Fume, 1018-G54",G54,G54,OPERATING,,,,,,,,
,,1018-091-6088,6088.0,125465.0,"Hood,Fume, 1018-460B",460B,460B,OPERATING,,,,,,,,
,,1018-091-6089,6089.0,125466.0,"Hood,Fume, 1018-467",467,467,OPERATING,,,,,,,,
,,1018-091-6090,6090.0,112232.0,"Hood,Fume, 1018-G49",Room 3G49,Room G49 (ADA),OPERATING,,,,,,,,
