oli,Facility Code,Asset Location,Unit Number,Asset Number,Asset Description,PM Location,Area Served,Status,Sash Trend,Occ Trend,Temp Trend,Sash RealTime,Occ RealTime,Temp RealTime,Notes,Server
Olive Tjaden Hall,2007,2007-091-6001,6001.0,53848.0,"Hood Fume, 2007-B04A-E",Room B04A-E,Hood B04A-E,OPERATING,,,,,,,,
,,2007-091-6002,6002.0,53789.0,"Hood Fume, 2007-B04A-W",Room B04A-W,Hood B04A-W,OPERATING,,,,,,,,
