Point List,,,,,,,
Location:,Cornell University / Biotech Server / Biotech / Biotech Ground Floor,,,,,,
cols_too_big();,,,,,,,
report_progress_step(),,,,,,,
report_progress_step(),,,,,,,
Location,Control Program,Name,Type,Object ID,Device ID,Object Name,Path
/Cornell University/Biotech Server/Biotech/Biotech Ground Floor/Ground Floor Fume Hood Lab Spaces/Lab G49/G49A,,,,,,,
,Lab G49,,,,,,
,,Minimum Occupied Flow,BAV,AV:26,DEV:1018362,sup_occ_min_flow_1,#lab_g49/sup_occ_min_flow
,,Minimum Occupied Flow,BAV,AV:27,DEV:1018362,sup_unocc_min_flow_1,#lab_g49/sup_unocc_min_flow
,,OA Humidity,BAV,AV:53,DEV:1018362,oa_humidity_1,#lab_g49/oa_humidity
,,OA Temperature,BAV,AV:28,DEV:1018362,oa_temp_mon_1,#lab_g49/oa_temp_mon
,,OA Temperature,BAV,AV:54,DEV:1018362,oa_temperature_1,#lab_g49/oa_temperature
,,point name,BAV,AV:30,DEV:1018362,m339_1,#lab_g49/m339
,,point name,BAV,AV:55,DEV:1018362,m769_1,#lab_g49/m769
,,Reheat valve Position,BAV,AV:32,DEV:1018362,hwv_pos_1,#lab_g49/hwv_pos
,,Room Square Footage,BAV,AV:33,DEV:1018362,room_sqf_1,#lab_g49/room_sqf
,,Run Request,BAV,AV:34,DEV:1018362,sys_run_req_1,#lab_g49/sys_run_req
,,Setpoint Adjust,BAV,AV:56,DEV:1018362,sp_adj_av_1,#lab_g49/sp_adj_av
,,steam_load_shed,BAV,AV:35,DEV:1018362,m361_1,#lab_g49/m361
,,Supply Air Temperature,BAV,AV:36,DEV:1018362,sa_temp_1,#lab_g49/sa_temp
,,Supply Air Temp Setpoint,BAV,AV:57,DEV:1018362,sat_stpt_1,#lab_g49/sat_stpt
,,Supply Air Valve Flow,BAV,AV:37,DEV:1018362,sflow_1,#lab_g49/sflow
,,Supply Air Valve Flow Setpoint,BAV,AV:38,DEV:1018362,sflow_sp_1,#lab_g49/sflow_sp
,,Supply Flow Stpt Deviation,BAV,AV:58,DEV:1018362,exh_flo_stpt_dev_1,#lab_g49/exh_flo_stpt_dev
,,Supply Flow Stpt Deviation,BAV,AV:39,DEV:1018362,sup_flo_stpt_dev_1,#lab_g49/sup_flo_stpt_dev
,,Supply Setpoint,BAV,AV:40,DEV:1018362,sup_setpt_1,#lab_g49/sup_setpt
,,Total Exhaust Flow,BAV,AV:41,DEV:1018362,teflow_1,#lab_g49/teflow
,,Total Exhaust Setpoint,BAV,AV:42,DEV:1018362,tex_setpt_1,#lab_g49/tex_setpt
,,Total Supply-Exhaust Flow Offset,BAV,AV:43,DEV:1018362,flow_offset_1,#lab_g49/flow_offset
,,Zone EI Time Satisfied,BAV,AV:44,DEV:1018362,zn_ei_time_sat_1,#lab_g49/zn_ei_time_sat
,,Zone EI Total Weight,BAV,AV:45,DEV:1018362,total_weight_1,#lab_g49/total_weight
,,Zone Environmental Index,BAV,AV:46,DEV:1018362,zn_enviro_indx_1,#lab_g49/zn_enviro_indx
,,Zone Temp,BAV,AV:47,DEV:1018362,zone_temp_av_1,#lab_g49/zone_temp_av
,,Zone Temperature,BAV,AV:59,DEV:1018362,zone_temp_2_1,#lab_g49/zone_temp_2
,,Zone Weighted Environmental Index,BAV,AV:48,DEV:1018362,enviro_windx_1,#lab_g49/enviro_windx
,,EM Power DAT Alarm Enable,BBV,BV:2,DEV:1018362,em_dat_enbl_1,#lab_g49/em_dat_enbl
,,EM Power DAT Alarm Enable,BBV,BV:3,DEV:1018362,em_phx_enbl_1,#lab_g49/em_phx_enbl
,,EM Power Flow Alarm Enable,BBV,BV:4,DEV:1018362,em_flo_enbl_1,#lab_g49/em_flo_enbl
,,EM Power Zone Temp Alarm Enable,BBV,BV:5,DEV:1018362,em_zone_enbl_1,#lab_g49/em_zone_enbl
,,Energy Saving,BBV,BV:1,DEV:1018362,energy_saving_1,#lab_g49/energy_saving
,,General Maintenance,BBV,BV:6,DEV:1018362,general_maintenance_1,#lab_g49/general_maintenance
,,General Zone Alarm,BBV,BV:8,DEV:1018362,general_zone_alarm_1,#lab_g49/general_zone_alarm
,,Local Occupied,BBV,BV:13,DEV:1018362,local_occupied_bv_1,#lab_g49/local_occupied_bv
,,Occ Sensor,BBV,BV:16,DEV:1018362,occ_sensor_bv_1,#lab_g49/occ_sensor_bv
,,Occupancy,BBV,BV:7,DEV:1018362,occ_status_1,#lab_g49/occ_status
,,Occupied,BBV,BV:17,DEV:1018362,occupied_bv_1,#lab_g49/occupied_bv
,,point name,BBV,BV:18,DEV:1018362,m555_1,#lab_g49/m555
,,point name,BBV,BV:23,DEV:1018362,m767_1,#lab_g49/m767
,,schedule,BBV,BV:10,DEV:1018362,schedule_1,#lab_g49/schedule
,,Scheduled Occupied,BBV,BV:24,DEV:1018362,scheduled_occupied_bv_1,#lab_g49/scheduled_occupied_bv
,,Supply Air Valve Flow,BBV,BV:11,DEV:1018362,savflow_1,#lab_g49/savflow
,,Vacancy,BBV,BV:12,DEV:1018362,vacancy_1,#lab_g49/vacancy
,,Exhaust Valve Size,BMSV,MSV:1,DEV:1018362,gex_vlv_size_1,#lab_g49/gex_vlv_size
,,Phoenix Pressure,BMSV,MSV:2,DEV:1018362,phx_press_1,#lab_g49/phx_press
,,point name,BMSV,MSV:3,DEV:1018362,m381_1,#lab_g49/m381
,,Supply Valve Size,BMSV,MSV:4,DEV:1018362,sup_vlv_size_1,#lab_g49/sup_vlv_size
,,Zone Mode Status Display,BMSV,MSV:5,DEV:1018362,zone_mode_status_display_1,#lab_g49/zone_mode_status_display
,,DAT_ERROR_ALRM,BALM,BV:25,DEV:1018362,dat_error_alrm_1,#lab_g49/dat_error_alrm
,,General Exhaust Air Valve Feedback,BALM,BV:26,DEV:1018362,gex_fbk_alm_1,#lab_g49/gex_fbk_alm
,,Input Micro-Block Error,BALM,BV:14,DEV:1018362,m856_1,#lab_g49/m856
,,Output Micro-Block Error,BALM,BV:15,DEV:1018362,m857_1,#lab_g49/m857
,,Phx General Exhaust Valve Jam Alarm,BALM,BV:27,DEV:1018362,eavjam_alarm_1,#lab_g49/eavjam_alarm
,,Point Locked Alarm,BALM,BV:19,DEV:1018362,m858_1,#lab_g49/m858
,,Sash Alarm,BALM,BV:29,DEV:1018362,sash_alarm_1,#lab_g49/sash_alarm
,,Supply Air Valve Feedback,BALM,BV:20,DEV:1018362,sav_fbk_alm_1,#lab_g49/sav_fbk_alm
,,System in Balance Mode,BALM,BV:21,DEV:1018362,m327_1,#lab_g49/m327
,,Zone Temp Alarm,BALM,BV:22,DEV:1018362,ztmp_alrm_1,#lab_g49/ztmp_alrm
,,ZS Alarm,BALM,BV:30,DEV:1018362,zs_alrm_1,#lab_g49/zs_alrm
,,AHU Fan Status,BNI2,,DEV:1018362,,#lab_g49/ahu_status
,,AHU Static Pressure,ANI,,DEV:1018362,,#lab_g49/ahu_static
,,Chilled Water,ANI,,DEV:1018362,,#lab_g49/chilled_load_shed
,,EAHU Fan Status,BNI2,,DEV:1018362,,#lab_g49/eahu_status
,,EAHU Suction Pressure,ANI,,DEV:1018362,,#lab_g49/eahu_suction
,,Emergency Power,BNI,,DEV:1018362,,#lab_g49/em_power
,,Entering Air Temp,ANI,,DEV:1018362,,#lab_g49/ahu_dat
,,OA Humidity,ANI,,DEV:1018362,,#lab_g49/oah
,,OA Temp,ANI,,DEV:1018362,,#lab_g49/oat
,,Occupancy,POLLTOT,,DEV:1018362,,#lab_g49/occ
,,Setpt Adjust,ANI,,DEV:1018362,,#lab_g49/setpt_adj
,,Steam,ANI,,DEV:1018362,,#lab_g49/steam_load_shed
,Equipment Rm G49A,,,,,,
,,Setpoint,BSPTCS,,DEV:1018363,,#equipment_rm_g49a/setpt
,,Setpoint / Cooling Occupied Setpoint,BAV,AV:1,DEV:1018363,occupied_cool_setpoint_1,#equipment_rm_g49a/setpt/occupied_cool_setpoint
,,Setpoint / Heating Occupied Setpoint,BAV,AV:2,DEV:1018363,occupied_heat_setpoint_1,#equipment_rm_g49a/setpt/occupied_heat_setpoint
