Location,Control Program,Name,Type,ObjectId,DeviceId,ObjectName,Path
,,Supply Flow Control / Flow Input,BAI,AI:3,DEV:48941,sup_air_flow_flow_input_1,#biotech/biotech_3rd_floor/third_floor_non_fume_hood_lab_spaces/space_308_control/sup_air_flow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:4,DEV:49104,sup_air_flow_flow_input_1,#biotech/biotech_3rd_floor/third_floor_non_fume_hood_lab_spaces/space_309a_control/sup_air_flow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:4,DEV:48926,sup_air_flow_flow_input_1,#biotech/biotech_3rd_floor/third_floor_non_fume_hood_lab_spaces/space_317a_control/sup_air_flow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:4,DEV:48927,sup_air_flow_flow_input_1,#biotech/biotech_3rd_floor/third_floor_non_fume_hood_lab_spaces/space_321a_control/sup_air_flow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:3,DEV:48928,flow_input_1,#biotech/biotech_3rd_floor/third_floor_non_fume_hood_lab_spaces/space_323_control/sup_air_flow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:3,DEV:48929,flow_input_1,#biotech/biotech_3rd_floor/third_floor_non_fume_hood_lab_spaces/space_325_control/sup_air_flow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:4,DEV:48940,sup_air_flow_flow_input_1,#biotech/biotech_3rd_floor/third_floor_non_fume_hood_lab_spaces/space_327a_control/sup_air_flow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:4,DEV:48930,sup_air_flow_flow_input_1,#biotech/biotech_3rd_floor/third_floor_non_fume_hood_lab_spaces/space_333a_control/sup_air_flow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:3,DEV:48942,sup_air_flow_flow_input_1,#biotech/biotech_3rd_floor/third_floor_non_fume_hood_lab_spaces/space_334_control/sup_air_flow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:4,DEV:49031,sup_air_flow_flow_input_1,#biotech/biotech_3rd_floor/third_floor_non_fume_hood_lab_spaces/space_341a_control/sup_air_flow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:4,DEV:49045,sup_air_flow_flow_input_1,#biotech/biotech_3rd_floor/third_floor_non_fume_hood_lab_spaces/space_350_control/sup_air_flow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:4,DEV:49038,sup_air_flow_flow_input_1,#biotech/biotech_3rd_floor/third_floor_non_fume_hood_lab_spaces/space_360a_control/sup_air_flow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:4,DEV:49137,sup_air_flow_flow_input_1,#biotech/biotech_3rd_floor/third_floor_non_fume_hood_lab_spaces/space_367a_control/sup_air_flow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:4,DEV:49047,sup_air_flow_flow_input_1,#biotech/biotech_3rd_floor/third_floor_non_fume_hood_lab_spaces/space_370_control/sup_air_flow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:4,DEV:49148,sup_air_flow_flow_input_1,#biotech/biotech_3rd_floor/third_floor_non_fume_hood_lab_spaces/space_371_control/sup_air_flow/flow_input
,,EAV-1 Flow Feedback,BAI,AI:2,DEV:47606,eav-1_flow_fbk_1,#biotech_336_hvac/eav-1_flow_fbk
,,Fume Hood-1 Flow Feedback,BAI,AI:6,DEV:47606,fh-1_flow_fbk_1,#biotech_336_hvac/fh-1_flow_fbk
,,SAV-1 Flow Feedback,BAI,AI:8,DEV:47606,sav-1_flow_fbk_1,#biotech_336_hvac/sav-1_flow_fbk
,,EAV-1 Flow Feedback,BAI,AI:2,DEV:47607,eav-1_flow_fbk_1,#biotech_353_west_hvac/eav-1_flow_fbk
,,EAV-2 Flow Feedback,BAI,AI:28,DEV:47607,eav-2_flow_fbk_1,#biotech_353_west_hvac/eav-2_flow_fbk
,,Fume Hood 1 Flow Feedback,BAI,AI:3,DEV:47607,fh-1_flow_fbk_1,#biotech_353_west_hvac/fh-1_flow_fbk
,,PEV-1 Flow Feedback,BAI,AI:6,DEV:47607,pev-1_flow_fbk_1,#biotech_353_west_hvac/pev-1_flow_fbk
,,SAV-1 Flow Feedback,BAI,AI:8,DEV:47607,sav-1_flow_fbk_1,#biotech_353_west_hvac/sav-1_flow_fbk
,,SAV-2 Flow Feedback,BAI,AI:11,DEV:47607,sav-2_flow_fbk_1,#biotech_353_west_hvac/sav-2_flow_fbk
,,EAV-3 Flow Feedback,BAI,AI:15,DEV:47607,eav-1_flow_fbk_3,#biotech_353_east_hvac/eav-1_flow_fbk
,,EAV-4 Flow Feedback,BAI,AI:30,DEV:47607,eav-2_flow_fbk_3,#biotech_353_east_hvac/eav-2_flow_fbk
,,Fume Hood 1 Flow Feedback,BAI,AI:16,DEV:47607,fh-1_flow_fbk_3,#biotech_353_east_hvac/fh-1_flow_fbk
,,PEV-2 Flow Feedback,BAI,AI:19,DEV:47607,pev-1_flow_fbk_3,#biotech_353_east_hvac/pev-1_flow_fbk
,,SAV-3 Flow Feedback,BAI,AI:21,DEV:47607,sav-1_flow_fbk_3,#biotech_353_east_hvac/sav-1_flow_fbk
,,SAV-4 Flow Feedback,BAI,AI:24,DEV:47607,sav-2_flow_fbk_3,#biotech_353_east_hvac/sav-2_flow_fbk
,,EAV-1 Flow Feedback,BAI,AI:3,DEV:47608,eav-1_flow_fbk_1,#biotech_354_hvac/eav-1_flow_fbk
,,PEV-1 Flow Feedback,BAI,AI:12,DEV:47608,pev-1_flow_fbk_1,#biotech_354_hvac/pev-1_flow_fbk
,,SAV-1 Flow Feedback,BAI,AI:6,DEV:47608,sav-1_flow_fbk_1,#biotech_354_hvac/sav-1_flow_fbk
,,EAV-3 Flow Feedback,BAI,AI:1,DEV:47609,eav-1_flow_fbk_1,#biotech_354ab_hvac/eav-1_flow_fbk
,,SAV-2 Flow Feedback,BAI,AI:4,DEV:47609,sav-1_flow_fbk_1,#biotech_354ab_hvac/sav-1_flow_fbk
,,EAV-2 Flow Feedback,BAI,AI:1,DEV:49010,eav-1_flow_fbk_1,#biotech_354c_hvac/eav-1_flow_fbk
,,SAV-3 Flow Feedback,BAI,AI:3,DEV:49010,sav-1_flow_fbk_1,#biotech_354c_hvac/sav-1_flow_fbk
,,Supply Flow Control / Flow Input,BAI,AI:1,DEV:49021,flow_input_1,#biotech_351_hvac/supply_airflow/flow_input
,,Supply Flow Control / Flow Input,BAI,AI:1,DEV:49024,flow_input_1,#biotech_355_hvac/supply_airflow/flow_input
,,EAV-1 Flow Feedback,BAI,AI:1,DEV:49012,eav-1_flow_fbk_1,#biotech_353a_hvac/eav-1_flow_fbk
,,SAV-1 Flow Feedback,BAI,AI:3,DEV:49012,sav-1_flow_fbk_1,#biotech_353a_hvac/sav-1_flow_fbk
,,EAV-1 Flow Feedback,BAI,AI:1,DEV:49026,eav-1_flow_fbk_1,#biotech_357a_hvac/eav-1_flow_fbk
,,SAV-1 Flow Feedback,BAI,AI:3,DEV:49026,sav-1_flow_fbk_1,#biotech_357a_hvac/sav-1_flow_fbk
,,Supply Flow Control / Flow Input,BAI,AI:1,DEV:49027,flow_input_1,#biotech_359_hvac/supply_airflow/flow_input
,,EAV-1 Flow Feedback,BAI,AI:1,DEV:49353,eav-1_flow_fbk_1,#biotech_lab_445a_hvac/eav-1_flow_fbk
,,SAV-1 Flow Feedback,BAI,AI:3,DEV:49353,sav-1_flow_fbk_1,#biotech_lab_445a_hvac/sav-1_flow_fbk
,,EAV-1 Flow Feedback,BAI,AI:2,DEV:49312,eav-1_flow_av_1,#biotech_lab_445_hvac/eav-1_flow_av
,,Fume Hood-1 Flow Feedback,BAI,AI:3,DEV:49312,fh-1_flow_fbk_1,#biotech_lab_445_hvac/fh-1_flow_fbk
,,SAV-1 Flow Feedback,BAI,AI:5,DEV:49312,sav-1_flow_fbk_1,#biotech_lab_445_hvac/sav-1_flow_fbk
,,EAV-1 Flow Feedback,BAI,AI:1,DEV:49313,eav-1_flow_fbk_1,#biotech_lab_445b_hvac/eav-1_flow_fbk
,,SAV-1 Flow Feedback,BAI,AI:3,DEV:49313,sav-1_flow_fbk_1,#biotech_lab_445b_hvac/sav-1_flow_fbk
