Location,Control Program,Name,Type,ObjectId,DeviceId,ObjectName,Path
/Cornell University/Biotech Server/Baker Lab/Basement,B01 Laser lab,Occ Sensor,BBI,BI:2,DEV:30602,occ_sensor_1,#baker_lab_basement/b01_laser_lab/occ_sensor
/Cornell University/Biotech Server/Baker Lab/Ground Floor/AHU-2 Zones,G10 (VAV-GA2),Occupancy Sensor,BBI,BI:1,DEV:30917,occ1_1,#baker_lab_g10_vav-ga2/occ1
/Cornell University/Biotech Server/Baker Lab/Ground Floor/AHU-3 Zones,G24 (VAV-GU1),Occupancy Sensor,BBI,BI:1,DEV:30818,occ1_1,#baker_lab_g24_vav-gu1/occ1
/Cornell University/Biotech Server/Baker Lab/Ground Floor/AHU-3 Zones,G16 (VAV-GC2),Occupancy Sensor,BBI,BI:1,DEV:30824,occ1_1,#baker_lab_g16_vav-gc2/occ1
/Cornell University/Biotech Server/Baker Lab/Ground Floor/AHU-3 Zones,G22 (RHC-GW1),Occupancy Sensor,BBI,BI:1,DEV:30823,occ1_1,#baker_lab_g20g22_rhc-gw1/occ1
/Cornell University/Biotech Server/Baker Lab/Ground Floor/AHU-3 Zones,G20 (RHC-GX1),Occupancy Sensor,BBI,BI:1,DEV:30822,occ1_1,#baker_lab_g20g22_rhc-gx1/occ1
/Cornell University/Biotech Server/Baker Lab/Ground Floor/AHU-4 Zones/G32,G32 (VAV-GH1),Occupancy Sensor,BBI,BI:1,DEV:30808,occ1_1,#baker_lab_g32_vav-gh1/occ1
/Cornell University/Biotech Server/Baker Lab/Ground Floor/AHU-4 Zones/G34/36,G34 (VAV-GG1),Occupancy Sensor,BBI,BI:1,DEV:30807,occ1_1,#baker_lab_g34_vav-gg1/occ1
/Cornell University/Biotech Server/Baker Lab/Ground Floor/AHU-4 Zones/G34/36,G36 (VAV-GC1),Occupancy Sensor,BBI,BI:1,DEV:30806,occ1_1,#baker_lab_g36_vav-gc1/occ1
/Cornell University/Biotech Server/Baker Lab/Ground Floor/AHU-4 Zones/G38A,G38A (VAV-GB1),Occupancy Sensor,BBI,BI:1,DEV:30804,occ1_1,#baker_lab_g38a_vav-gb1/occ1
/Cornell University/Biotech Server/Baker Lab/Ground Floor/AHU-4 Zones/G40,G40 (VAV-GY),Occupancy Sensor,BBI,BI:1,DEV:30801,occ1_1,#baker_lab_g40_vav-g4/occ1
/Cornell University/Biotech Server/Baker Lab/Ground Floor/AHU-4 Zones,G28 (VAV-GJ1),Occupancy Sensor,BBI,BI:1,DEV:30809,occ1_1,#baker_lab_g28_vav-gj1/occ1
/Cornell University/Biotech Server/Baker Lab/Ground Floor/AHU-4 Zones,G38 (VAV-GA1),Occupancy Sensor,BBI,BI:1,DEV:30803,occ1_1,#baker_lab_g38_vav-ga1/occ1
