Location,Control Program,Name,Type,ObjectId,DeviceId,ObjectName,Path
,,HOOD SASH POS,BAI,AI:4,DEV:48925,hood_sash_1,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_321b_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:48920,hood_sash_1,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_327_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:48921,hood_sash_1,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_327b_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:48922,hood_sash_1,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_333_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:48923,hood_sash_1,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_333b_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:49005,hood_sash_1,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_341_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:49006,hood_sash_1,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_341b_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:49013,hood_sash_1,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_360_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:49014,hood_sash_1,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_360b_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:49115,hood_sash_1,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_367_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:49116,hood_sash_1,#biotech/biotech_3rd_floor/third_floor_fume_hood_lab_spaces/lab_367b_control/hood_sash
,,Fume Hood-1 Sash Position Input,BAI,AI:7,DEV:47606,fh-1_sash_pos_1,#biotech_336_hvac/fh-1_sash_pos
,,Fume Hood 1 Sash Position Input,BAI,AI:4,DEV:47607,fh-1_sash_pos_1,#biotech_353_west_hvac/fh-1_sash_pos
,,Fume Hood 1 Sash Position Input,BAI,AI:17,DEV:47607,fh-1_sash_pos_3,#biotech_353_east_hvac/fh-1_sash_pos
,,Fume Hood-1 Sash Position Input,BAI,AI:4,DEV:49312,fh-1_sash_pos_1,#biotech_lab_445_hvac/fh-1_sash_pos
,,HOOD SASH POS,BAI,AI:4,DEV:49435,hood_sash_1,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_403_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:49436,hood_sash_1,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_403b_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:49437,hood_sash_1,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_409_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:49438,hood_sash_1,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_409b_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:49239,hood_sash_1,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_417_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:49240,hood_sash_1,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_417b_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:49241,hood_sash_1,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_418_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:49242,hood_sash_1,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_421_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:49243,hood_sash_1,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_421b_control/hood_sash
,,HOOD SASH POS,BAI,AI:4,DEV:49221,hood_sash_1,#biotech/biotech_4th_floor/fourth_floor_fume_hood_lab_spaces/lab_427b_control/hood_sash
