lab,Object ID,Device ID,Name
Lab 353 West HVAC,AI:28,DEV:47607,EAV-2 Flow Feedback
Lab 353 West HVAC,AI:3,DEV:47607,Fume Hood 1 Flow Feedback
Lab 353 West HVAC,AI:6,DEV:47607,PEV-1 Flow Feedback
Lab 353 West HVAC,AI:8,DEV:47607,SAV-1 Flow Feedback
Lab 353 West HVAC,AI:11,DEV:47607,SAV-2 Flow Feedback
Lab 353 East HVAC,AI:15,DEV:47607,EAV-3 Flow Feedback
Lab 353 East HVAC,AI:30,DEV:47607,EAV-4 Flow Feedback
Lab 353 East HVAC,AI:16,DEV:47607,Fume Hood 1 Flow Feedback
Lab 353 East HVAC,AI:19,DEV:47607,PEV-2 Flow Feedback
Lab 353 East HVAC,AI:21,DEV:47607,SAV-3 Flow Feedback
Lab 353 East HVAC,AI:24,DEV:47607,SAV-4 Flow Feedback
Lab 354 HVAC,AI:3,DEV:47608,EAV-1 Flow Feedback
Lab 354 HVAC,AI:12,DEV:47608,PEV-1 Flow Feedback
Lab 354 HVAC,AI:6,DEV:47608,SAV-1 Flow Feedback
Lab 354A/B HVAC,AI:1,DEV:47609,EAV-3 Flow Feedback
Lab 354A/B HVAC,AI:4,DEV:47609,SAV-2 Flow Feedback
Lab 354C HVAC,AI:1,DEV:49010,EAV-2 Flow Feedback
Lab 354C HVAC,AI:3,DEV:49010,SAV-3 Flow Feedback
Lab 353A HVAC,AI:1,DEV:49012,EAV-1 Flow Feedback
Lab 353A HVAC,AI:3,DEV:49012,SAV-1 Flow Feedback
Lab 357A HVAC,AI:1,DEV:49026,EAV-1 Flow Feedback
Lab 357A HVAC,AI:3,DEV:49026,SAV-1 Flow Feedback
Biotech Lab 445A HVAC,AI:1,DEV:49353,EAV-1 Flow Feedback
Biotech Lab 445A HVAC,AI:3,DEV:49353,SAV-1 Flow Feedback
Biotech Lab 445 HVAC,AI:2,DEV:49312,EAV-1 Flow Feedback
Biotech Lab 445 HVAC,AI:3,DEV:49312,Fume Hood-1 Flow Feedback
Biotech Lab 445 HVAC,AI:5,DEV:49312,SAV-1 Flow Feedback
Biotech Lab 445B HVAC,AI:1,DEV:49313,EAV-1 Flow Feedback
Biotech Lab 445B HVAC,AI:3,DEV:49313,SAV-1 Flow Feedback
Lab 403 Control,AI:3,DEV:49435,HOOD FLOW
Lab 403B Control,AI:3,DEV:49436,HOOD FLOW
Lab 409 Control,AI:3,DEV:49437,HOOD FLOW
Lab 409B Control,AI:3,DEV:49438,HOOD FLOW
Lab 417 Control,AI:3,DEV:49239,HOOD FLOW
Lab 417B Control,AI:3,DEV:49240,HOOD FLOW
Lab 418 Control,AI:3,DEV:49241,HOOD FLOW
Lab 421 Control,AI:3,DEV:49242,HOOD FLOW
Lab 421B Control,AI:3,DEV:49243,HOOD FLOW
Lab 427B Control,AI:3,DEV:49221,HOOD FLOW
Lab 433 Control,AI:3,DEV:49222,HOOD FLOW
Lab 433B Control,AI:3,DEV:49223,HOOD FLOW
Lab 441 Control,AI:3,DEV:49310,HOOD FLOW
Lab 441B Control,AI:3,DEV:49311,HOOD FLOW
Lab 453 Control,AI:3,DEV:49314,HOOD FLOW
Lab 453B Control,AI:3,DEV:49315,HOOD FLOW
Lab 457 Control,AI:3,DEV:49316,HOOD FLOW
Lab 457B Control,AI:3,DEV:49317,HOOD FLOW
Lab 460 Control,AI:1,DEV:49318,EAV-1 Flow Feedback
Lab 460 Control,AI:3,DEV:49318,SAV-1 Flow Feedback
Lab 460B Control,AI:2,DEV:49319,EAV-1 Flow Feedback
Lab 460B Control,AI:3,DEV:49319,Fume Hood-1 Flow Feedback
Lab 460B Control,AI:5,DEV:49319,SAV-1 Flow Feedback
Lab 467 Control,AI:1,DEV:49424,EAV-1 Flow Feedback
Lab 467 Control,AI:3,DEV:49424,SAV-1 Flow Feedback
Lab 467B Control,AI:2,DEV:49425,EAV-1 Flow Feedback
Lab 467B Control,AI:3,DEV:49425,Fume Hood-1 Flow Feedback
Lab 467B Control,AI:5,DEV:49425,SAV-1 Flow Feedback
