,Unnamed: 0,Lab,Floor,Server,Hood,Sash,Occupancy,Internal Temp,External Temp,FloorNum,Energy Occupied,Energy Unoccupied,Sash Open Time Occupied,Sash Open Time Unoccupied
10,10,221b,2nd,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,2,Biotech.Floor_2.Lab_221b.Hood_1.energy.occ,Biotech.Floor_2.Lab_221b.Hood_1.energy.unocc,Biotech.Floor_2.Lab_221b.Hood_1.sashOpenTime.occ,Biotech.Floor_2.Lab_221b.Hood_1.sashOpenTime.unocc
11,11,227,2nd,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,2,Biotech.Floor_2.Lab_227.Hood_1.energy.occ,Biotech.Floor_2.Lab_227.Hood_1.energy.unocc,Biotech.Floor_2.Lab_227.Hood_1.sashOpenTime.occ,Biotech.Floor_2.Lab_227.Hood_1.sashOpenTime.unocc
12,12,227b,2nd,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_227b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,2,Biotech.Floor_2.Lab_227b.Hood_1.energy.occ,Biotech.Floor_2.Lab_227b.Hood_1.energy.unocc,Biotech.Floor_2.Lab_227b.Hood_1.sashOpenTime.occ,Biotech.Floor_2.Lab_227b.Hood_1.sashOpenTime.unocc
13,13,233,2nd,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,2,Biotech.Floor_2.Lab_233.Hood_1.energy.occ,Biotech.Floor_2.Lab_233.Hood_1.energy.unocc,Biotech.Floor_2.Lab_233.Hood_1.sashOpenTime.occ,Biotech.Floor_2.Lab_233.Hood_1.sashOpenTime.unocc
14,14,233b,2nd,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,2,Biotech.Floor_2.Lab_233b.Hood_1.energy.occ,Biotech.Floor_2.Lab_233b.Hood_1.energy.unocc,Biotech.Floor_2.Lab_233b.Hood_1.sashOpenTime.occ,Biotech.Floor_2.Lab_233b.Hood_1.sashOpenTime.unocc
15,15,241,2nd,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,2,Biotech.Floor_2.Lab_241.Hood_1.energy.occ,Biotech.Floor_2.Lab_241.Hood_1.energy.unocc,Biotech.Floor_2.Lab_241.Hood_1.sashOpenTime.occ,Biotech.Floor_2.Lab_241.Hood_1.sashOpenTime.unocc
16,16,241b,2nd,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,2,Biotech.Floor_2.Lab_241b.Hood_1.energy.occ,Biotech.Floor_2.Lab_241b.Hood_1.energy.unocc,Biotech.Floor_2.Lab_241b.Hood_1.sashOpenTime.occ,Biotech.Floor_2.Lab_241b.Hood_1.sashOpenTime.unocc
17,17,253,2nd,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,2,Biotech.Floor_2.Lab_253.Hood_1.energy.occ,Biotech.Floor_2.Lab_253.Hood_1.energy.unocc,Biotech.Floor_2.Lab_253.Hood_1.sashOpenTime.occ,Biotech.Floor_2.Lab_253.Hood_1.sashOpenTime.unocc
18,18,253b,2nd,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,2,Biotech.Floor_2.Lab_253b.Hood_1.energy.occ,Biotech.Floor_2.Lab_253b.Hood_1.energy.unocc,Biotech.Floor_2.Lab_253b.Hood_1.sashOpenTime.occ,Biotech.Floor_2.Lab_253b.Hood_1.sashOpenTime.unocc
19,19,257,2nd,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,2,Biotech.Floor_2.Lab_257.Hood_1.energy.occ,Biotech.Floor_2.Lab_257.Hood_1.energy.unocc,Biotech.Floor_2.Lab_257.Hood_1.sashOpenTime.occ,Biotech.Floor_2.Lab_257.Hood_1.sashOpenTime.unocc
