,Lab,Floor,Hood,Sash,Occupancy,Internal Temp,External Temp
13,233,2nd,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
14,233b,2nd,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_233b_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
15,241,2nd,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
16,241b,2nd,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_241b_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
17,253,2nd,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
18,253b,2nd,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_253b_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
19,257,2nd,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
20,257b,2nd,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_257b_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
21,260,2nd,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
22,260b,2nd,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_260b_control/zonetemp,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat
