C1,Room,Pointname,Acronym,Point
Point List,,,,
Location:,Cornell University / Biotech Server / Biotech,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
Location,Control Program,Name,Type,Path
/Cornell University/Biotech Server/Biotech/Biotech Building Performance/Airflow Performance,,,,
,"Biotech ACS-1, 2, and 3 Performance",,,
,,Non-Lab Schedule Active,POLLTOT,#biotech_acs-1_2_and_3_performance/in_non-lab_schedule_active_1
,,Non-Lab Schedule Count,POLLTOT,#biotech_acs-1_2_and_3_performance/in_non-lab_schedule_count_1
,,Non-Lab Setback Active,POLLTOT,#biotech_acs-1_2_and_3_performance/in_non-lab_setback_active_1
,,Non-Lab Setback Count,POLLTOT,#biotech_acs-1_2_and_3_performance/in_non-lab_setback_count_1
,,Total Zone Exhaust Airflow #1,POLLTOT,#biotech_acs-1_2_and_3_performance/in_eflow_tot_1
,,Total Zone Supply Airflow #1,POLLTOT,#biotech_acs-1_2_and_3_performance/in_sflow_tot_1
,,Unocc Min Zone Exhaust Airflow #1,POLLTOT,#biotech_acs-1_2_and_3_performance/in_unocc_min_zn_eflow_1
,,Unocc Min Zone Supply Airflow #1,POLLTOT,#biotech_acs-1_2_and_3_performance/in_unocc_min_zn_sflow_1
,"Biotech ACS-1, 2, and 3 Rollup",,,
,,AHU Exhaust Airflow,BAV,#biotech_acs-1_2_and_3_rollup/ahu_exhaust_airflow_av
,,AHU Outside Airflow,BAV,#biotech_acs-1_2_and_3_rollup/ahu_outside_airflow_av
,,AHU Supply Airflow,BAV,#biotech_acs-1_2_and_3_rollup/ahu_supply_airflow_av
,,Hood Count,BAV,#biotech_acs-1_2_and_3_rollup/hood_count_av
,,Hoods Open,BAV,#biotech_acs-1_2_and_3_rollup/hoods_open_av
,,Lab_Setback,BAV,#biotech_acs-1_2_and_3_rollup/lab_setback_av
,,LabSchedule,BAV,#biotech_acs-1_2_and_3_rollup/lab_schedule_av
,,Lab Schedule Count,BAV,#biotech_acs-1_2_and_3_rollup/lab_schedule_count_av
,,Lab Setback Count,BAV,#biotech_acs-1_2_and_3_rollup/lab_setback_count_av
,,Non-LabSchedule,BAV,#biotech_acs-1_2_and_3_rollup/non-lab_schedule_av
,,Non-Lab Schedule Count,BAV,#biotech_acs-1_2_and_3_rollup/non-lab_schedule_count_av
,,Non-Lab Setback,BAV,#biotech_acs-1_2_and_3_rollup/non-lab_setback_av
,,Non-Lab Setback Count,BAV,#biotech_acs-1_2_and_3_rollup/non-lab_setback_count_av
,,Occ Max EAirflow Setpoint,BAV,#biotech_acs-1_2_and_3_rollup/occ_max_eflow_stpt_av
,,Occ Max SAirflow Setpoint,BAV,#biotech_acs-1_2_and_3_rollup/occ_max_sflow_stpt_av
,,Occ Min EAirflow Setpoint,BAV,#biotech_acs-1_2_and_3_rollup/occ_min_eflow_stpt_av
,,Occ Min SAirflow Setpoint,BAV,#biotech_acs-1_2_and_3_rollup/occ_min_sflow_stpt_av
,,Total Zone Exhaust Airflow,BAV,#biotech_acs-1_2_and_3_rollup/exhaust_airflow
,,Total Zone Supply Airflow,BAV,#biotech_acs-1_2_and_3_rollup/supply_airflow
,,Unocc Min EAirflow Setpoint,BAV,#biotech_acs-1_2_and_3_rollup/unocc_min_eflow_stpt_av
,,Unocc Min Zone Exhaust Airflow,BAV,#biotech_acs-1_2_and_3_rollup/unocc_min_zn_eflow_av
,,AHU Supply Airflow,ANI,#biotech_acs-1_2_and_3_rollup/ahu_supply_airflow
,,Hood Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_hood_count_1
,,Hood Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_hood_count_2
,,Hood Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_hood_count_3
,,Hood Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_hood_count_4
,,Hood Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_hood_count_5
,,Hood Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_hood_count_6
,,Hood Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_hood_count_7
,,Hood Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_hood_count_8
,,Hoods Open,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_hoods_open_1
,,Hoods Open,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_hoods_open_2
,,Hoods Open,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_hoods_open_3
,,Hoods Open,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_hoods_open_4
,,Hoods Open,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_hoods_open_5
,,Hoods Open,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_hoods_open_6
,,Hoods Open,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_hoods_open_7
,,Hoods Open,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_hoods_open_8
,,Lab Schedule Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_schedule_active_1
,,Lab Schedule Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_schedule_active_10
,,Lab Schedule Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_schedule_active_11
,,Lab Schedule Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_schedule_active_12
,,Lab Schedule Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_schedule_active_2
,,Lab Schedule Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_schedule_active_3
,,Lab Schedule Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_schedule_active_4
,,Lab Schedule Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_schedule_active_5
,,Lab Schedule Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_schedule_active_6
,,Lab Schedule Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_schedule_active_7
,,Lab Schedule Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_schedule_active_8
,,Lab Schedule Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_schedule_active_9
,,Lab Schedule Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_schedule_count_1
,,Lab Schedule Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_schedule_count_10
,,Lab Schedule Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_schedule_count_11
,,Lab Schedule Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_schedule_count_12
,,Lab Schedule Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_schedule_count_2
,,Lab Schedule Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_schedule_count_3
,,Lab Schedule Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_schedule_count_4
,,Lab Schedule Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_schedule_count_5
,,Lab Schedule Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_schedule_count_6
,,Lab Schedule Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_schedule_count_7
,,Lab Schedule Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_schedule_count_8
,,Lab Schedule Count,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_schedule_count_9
,,Lab Setback Active,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_lab_setback_active_1
