C1,Room,Pointname,Acronym,Point
Point List,,,,
Location:,Cornell University / Biotech Server / Biotech,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
report_progress_step(),,,,
Location,Control Program,Name,Type,Path
/Cornell University/Biotech Server/Biotech/Biotech Building Performance/Airflow Performance,,,,
,"Biotech ACS-1, 2, and 3 Performance",,,
,,Max Zone Exhaust Airflow #6,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_eflow_6
,,Max Zone Exhaust Airflow #7,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_eflow_7
,,Max Zone Exhaust Airflow #8,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_eflow_8
,,Max Zone Exhaust Airflow #9,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_eflow_9
,,Max Zone Exhaust Airflow #10,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_eflow_10
,,Max Zone Exhaust Airflow #11,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_eflow_11
,,Max Zone Exhaust Airflow #12,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_eflow_12
,,Max Zone Exhaust Airflow #13,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_eflow_13
,,Max Zone Exhaust Airflow #14,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_eflow_14
,,Max Zone Supply Airflow #1,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_sflow_1
,,Max Zone Supply Airflow #2,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_sflow_2
,,Max Zone Supply Airflow #3,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_sflow_3
,,Max Zone Supply Airflow #4,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_sflow_4
,,Max Zone Supply Airflow #5,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_sflow_5
,,Max Zone Supply Airflow #6,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_sflow_6
,,Max Zone Supply Airflow #7,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_sflow_7
,,Max Zone Supply Airflow #8,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_sflow_8
,,Max Zone Supply Airflow #9,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_sflow_10
,,Max Zone Supply Airflow #9,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_sflow_9
,,Max Zone Supply Airflow #10,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_sflow_11
,,Max Zone Supply Airflow #12,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_sflow_12
,,Max Zone Supply Airflow #13,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_sflow_13
,,Max Zone Supply Airflow #14,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_max_zn_sflow_14
,,Min Zone Exhaust Airflow #1,POLLTOT,#biotech_acs-1_2_and_3_rollup/in_min_zn_eflow_1
