,building,hood,Lab,Floor,Server,Flow Sensor,Sash,Occupancy,Internal Temp,External Temp,FloorNum,Energy Occupied,Energy Unoccupied,Sash Open Time Occupied,Sash Open Time Unoccupied
0,biotech,1,G54,G,biotech_main,#biotech/biotech_ground_floor/ground_floor_fume_hood_lab_spaces/lab_g54_control/hoodvalve_flow,#biotech/biotech_ground_floor/ground_floor_fume_hood_lab_spaces/lab_g54_control/hood_sash,#biotech/biotech_ground_floor/ground_floor_fume_hood_lab_spaces/lab_g54_control/occ,#biotech/biotech_ground_floor/ground_floor_fume_hood_lab_spaces/lab_g54_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_G54.Hood_1.energy.occ,Biotech.nanFloor.Lab_G54.Hood_1.energy.unocc,Biotech.nanFloor.Lab_G54.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_G54.Hood_1.sashOpenTime.unocc
1,biotech,1,141,1,biotech_main,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/hoodvalve_flow,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/hood_sash,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/occ,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_141_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_141.Hood_1.energy.occ,Biotech.nanFloor.Lab_141.Hood_1.energy.unocc,Biotech.nanFloor.Lab_141.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_141.Hood_1.sashOpenTime.unocc
2,biotech,1,143,1,biotech_main,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_143_control/hoodvalve_flow,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_143_control/hood_sash,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_143_control/occ,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_143_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_143.Hood_1.energy.occ,Biotech.nanFloor.Lab_143.Hood_1.energy.unocc,Biotech.nanFloor.Lab_143.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_143.Hood_1.sashOpenTime.unocc
3,biotech,1,147B,1,biotech_main,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_147b_control/hoodvalve_flow,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_147b_control/hood_sash,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_147b_control/occ,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_147b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_147B.Hood_1.energy.occ,Biotech.nanFloor.Lab_147B.Hood_1.energy.unocc,Biotech.nanFloor.Lab_147B.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_147B.Hood_1.sashOpenTime.unocc
4,biotech,1,153,1,biotech_main,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_153_control/hoodvalve_flow,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_153_control/hood_sash,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_153_control/occ,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_153_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_153.Hood_1.energy.occ,Biotech.nanFloor.Lab_153.Hood_1.energy.unocc,Biotech.nanFloor.Lab_153.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_153.Hood_1.sashOpenTime.unocc
5,biotech,1,153B,1,biotech_main,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_153b_control/hoodvalve_flow,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_153b_control/hood_sash,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_153b_control/occ,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_153b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_153B.Hood_1.energy.occ,Biotech.nanFloor.Lab_153B.Hood_1.energy.unocc,Biotech.nanFloor.Lab_153B.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_153B.Hood_1.sashOpenTime.unocc
6,biotech,1,155,1,biotech_main,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_155_control/hoodvalve_flow,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_155_control/hood_sash,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_155_control/occ,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_155_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_155.Hood_1.energy.occ,Biotech.nanFloor.Lab_155.Hood_1.energy.unocc,Biotech.nanFloor.Lab_155.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_155.Hood_1.sashOpenTime.unocc
7,biotech,1,160,1,biotech_main,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_160_control/hoodvalve_flow,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_160_control/hood_sash,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_160_control/occ,#biotech/biotech_1st_floor/first_floor_fume_hood_lab_spaces/lab_160_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_160.Hood_1.energy.occ,Biotech.nanFloor.Lab_160.Hood_1.energy.unocc,Biotech.nanFloor.Lab_160.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_160.Hood_1.sashOpenTime.unocc
8,biotech,1,217B,2,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_217b_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_217b_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_217b_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_217b_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_217B.Hood_1.energy.occ,Biotech.nanFloor.Lab_217B.Hood_1.energy.unocc,Biotech.nanFloor.Lab_217B.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_217B.Hood_1.sashOpenTime.unocc
9,biotech,1,221,2,biotech_main,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221_control/hoodvalve_flow,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221_control/hood_sash,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221_control/occ,#biotech/biotech_2nd_floor/second_floor_fume_hood_lab_spaces/lab_221_control/zone/zone_temp/trend_log,#biotech/ground_flr_mech/building_hydronic_heating_syatems/reheat_heat_exchanger/oat,,Biotech.nanFloor.Lab_221.Hood_1.energy.occ,Biotech.nanFloor.Lab_221.Hood_1.energy.unocc,Biotech.nanFloor.Lab_221.Hood_1.sashOpenTime.occ,Biotech.nanFloor.Lab_221.Hood_1.sashOpenTime.unocc
